1	1	1	2026-02-14 20:53:55	2026-02-14 20:53:55
5	1	45	2026-03-10 00:00:00	2026-03-10 00:00:00
9	8	44	2026-03-10 00:00:00	2026-03-10 00:00:00
21	14	45	2026-03-10 00:00:00	2026-03-10 00:00:00
22	15	45	2026-03-10 00:00:00	2026-03-10 00:00:00
